date,weekday,is_trading_day,reason,name
2022-10-02,Sunday,false,weekend,주말
2022-10-03,Monday,false,holiday,개천절
2022-10-08,Saturday,false,weekend,주말
2022-10-09,Sunday,false,weekend,주말
2022-10-10,Monday,false,holiday,한글날
2022-10-15,Saturday,false,weekend,주말
2022-10-16,Sunday,false,weekend,주말
2022-10-22,Saturday,false,weekend,주말
2022-10-23,Sunday,false,weekend,주말
2022-10-29,Saturday,false,weekend,주말
2022-10-30,Sunday,false,weekend,주말
2022-11-05,Saturday,false,weekend,주말
2022-11-06,Sunday,false,weekend,주말
2022-11-12,Saturday,false,weekend,주말
2022-11-13,Sunday,false,weekend,주말
2022-11-19,Saturday,false,weekend,주말
2022-11-20,Sunday,false,weekend,주말
2022-11-26,Saturday,false,weekend,주말
2022-11-27,Sunday,false,weekend,주말
2022-12-03,Saturday,false,weekend,주말
2022-12-04,Sunday,false,weekend,주말
2022-12-10,Saturday,false,weekend,주말
2022-12-11,Sunday,false,weekend,주말
2022-12-17,Saturday,false,weekend,주말
2022-12-18,Sunday,false,weekend,주말
2022-12-24,Saturday,false,weekend,주말
2022-12-25,Sunday,false,weekend,주말
2022-12-30,Friday,false,holiday,연말 증시 휴장일
2022-12-31,Saturday,false,weekend,주말
2023-01-01,Sunday,false,weekend,주말
2023-01-07,Saturday,false,weekend,주말
2023-01-08,Sunday,false,weekend,주말
2023-01-14,Saturday,false,weekend,주말
2023-01-15,Sunday,false,weekend,주말
2023-01-21,Saturday,false,weekend,주말
2023-01-22,Sunday,false,weekend,주말
2023-01-23,Monday,false,holiday,설날
2023-01-24,Tuesday,false,holiday,설날
2023-01-28,Saturday,false,weekend,주말
2023-01-29,Sunday,false,weekend,주말
2023-02-04,Saturday,false,weekend,주말
2023-02-05,Sunday,false,weekend,주말
2023-02-11,Saturday,false,weekend,주말
2023-02-12,Sunday,false,weekend,주말
2023-02-18,Saturday,false,weekend,주말
2023-02-19,Sunday,false,weekend,주말
2023-02-25,Saturday,false,weekend,주말
2023-02-26,Sunday,false,weekend,주말
2023-03-01,Wednesday,false,holiday,3·1절
2023-03-04,Saturday,false,weekend,주말
2023-03-05,Sunday,false,weekend,주말
2023-03-11,Saturday,false,weekend,주말
2023-03-12,Sunday,false,weekend,주말
2023-03-18,Saturday,false,weekend,주말
2023-03-19,Sunday,false,weekend,주말
2023-03-25,Saturday,false,weekend,주말
2023-03-26,Sunday,false,weekend,주말
2023-04-01,Saturday,false,weekend,주말
2023-04-02,Sunday,false,weekend,주말
2023-04-08,Saturday,false,weekend,주말
2023-04-09,Sunday,false,weekend,주말
